  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
  0.00  31.94  51.74  35.94  95.49  94.34     89    3.863     4    2.167    6.029
  0.00  31.94 100.00  35.94  95.49  94.34     90    3.863     4    2.167    6.029
 53.48   0.00  45.85  38.30  95.49  94.34     90    3.894     4    2.167    6.061
 53.48   0.00  91.70  38.30  95.49  94.34     90    3.894     4    2.167    6.061
  0.00  49.74  33.93  42.10  95.49  94.34     91    3.934     4    2.167    6.100
  0.00  49.74  85.82  42.10  95.49  94.34     91    3.934     4    2.167    6.100
 60.69   0.00  27.96  45.67  95.49  94.34     92    3.979     4    2.167    6.146
 60.69   0.00  75.90  45.67  95.49  94.34     92    3.979     4    2.167    6.146
  0.00  53.78  17.98  49.80  95.49  94.34     93    4.024     4    2.167    6.191
  0.00  53.78  59.95  49.80  95.49  94.34     93    4.024     4    2.167    6.191
 26.99  53.78 100.00  51.52  95.49  94.34     94    4.024     4    2.167    6.191
 56.18   0.00  45.97  53.38  95.49  94.34     94    4.082     4    2.167    6.249
 56.18   0.00  91.95  53.38  95.49  94.34     94    4.082     4    2.167    6.249
  0.00  92.75  12.00  56.97  95.49  94.34     95    4.140     4    2.167    6.307
  0.00  92.75  43.37  56.97  95.49  94.34     95    4.140     4    2.167    6.307
  0.00  92.75  76.34  56.97  95.49  94.34     95    4.140     4    2.167    6.307
 13.49   0.00  12.00  61.51  95.49  94.34     96    4.187     4    2.167    6.353
 13.49   0.00  59.98  61.51  95.49  94.34     96    4.187     4    2.167    6.353
  0.00  98.56   4.00  62.37  95.49  94.34     97    4.216     4    2.167    6.383
  0.00  98.56  53.99  62.37  95.49  94.34     97    4.216     4    2.167    6.383
 58.59   0.00   0.00  65.98  95.49  94.34     98    4.257     4    2.167    6.424
 58.59   0.00  47.99  65.98  95.49  94.34     98    4.257     4    2.167    6.424
 58.59   0.00  96.33  65.98  95.49  94.34     98    4.257     4    2.167    6.424
  0.00  65.13  28.00  69.59  95.49  94.34     99    4.304     4    2.167    6.470
  0.00  65.13  79.99  69.59  95.49  94.34     99    4.304     4    2.167    6.470
 58.09   0.00  20.00  73.79  95.49  94.34    100    4.348     4    2.167    6.514
 58.09   0.00  72.00  73.79  95.49  94.34    100    4.348     4    2.167    6.514
 58.09  45.83 100.00  76.65  95.49  94.34    101    4.348     4    2.167    6.514
  0.00  59.00  50.00  77.41  95.49  94.34    101    4.414     4    2.167    6.581
  0.00  59.00 100.00  77.41  95.49  94.34    102    4.414     4    2.167    6.581
 62.74   0.00  32.67  81.05  95.49  94.34    102    4.468     4    2.167    6.635
 62.74   0.00  53.17  81.05  95.49  94.34    102    4.468     4    2.167    6.635
 62.74   0.00  97.57  81.05  95.49  94.34    103    4.468     4    2.167    6.635
  0.00  37.06   0.00  93.63  95.49  94.34    103    4.521     5    2.167    6.688
  0.00  37.06   0.00  93.63  95.49  94.34    103    4.521     5    2.167    6.688
  0.00  37.06   0.00  93.63  95.49  94.34    103    4.521     5    2.167    6.688
  0.00   0.00  12.19  27.47  95.49  94.34    103    4.521     5    3.081    7.602
  0.00   0.00  57.86  27.47  95.49  94.34    103    4.521     5    3.081    7.602
 62.96   0.00   1.99  34.75  95.49  94.34    104    4.548     5    3.081    7.629
 62.96   0.00  51.76  34.75  95.49  94.34    104    4.548     5    3.081    7.629
 62.96   5.84 100.00  34.80  95.49  94.34    105    4.548     5    3.081    7.629
  0.00  71.88  43.87  37.41  95.49  94.34    105    4.587     5    3.081    7.667
  0.00  71.88  87.73  37.41  95.49  94.34    105    4.587     5    3.081    7.667
 70.49   0.00  23.95  40.67  95.49  94.34    106    4.630     5    3.081    7.711
 70.49   0.00  75.85  40.67  95.49  94.34    106    4.630     5    3.081    7.711
  0.00  78.97  17.98  43.70  95.49  94.34    107    4.674     5    3.081    7.755
  0.00  78.97  69.91  43.70  95.49  94.34    107    4.674     5    3.081    7.755
 70.23   0.00   9.99  47.18  95.49  94.34    108    4.719     5    3.081    7.799
 70.23   0.00  59.95  47.18  95.49  94.34    108    4.719     5    3.081    7.799
  0.00  69.52   0.00  50.20  95.49  94.34    109    4.782     5    3.081    7.863
  0.00  69.52  42.64  50.20  95.49  94.34    109    4.782     5    3.081    7.863
  0.00  69.52  64.62  50.20  95.49  94.34    109    4.782     5    3.081    7.863
  0.00  69.52  94.08  50.20  95.49  94.34    109    4.782     5    3.081    7.863
 55.81   0.00  32.04  61.80  95.49  94.34    110    4.836     5    3.081    7.917
 55.81   0.00  63.80  61.80  95.49  94.34    110    4.836     5    3.081    7.917
  0.00  51.19   5.97  64.13  95.49  94.34    111    4.863     5    3.081    7.944
  0.00  51.19  55.72  64.13  95.49  94.34    111    4.863     5    3.081    7.944
 36.88  51.19 100.00  65.04  95.49  94.34    112    4.863     5    3.081    7.944
 77.55   0.00  47.84  66.24  95.49  94.34    112    4.899     5    3.081    7.980
 77.55   0.00  97.68  66.24  95.49  94.34    112    4.899     5    3.081    7.980
  0.00  99.04  35.92  69.52  95.49  94.34    113    4.942     5    3.081    8.023
  0.00  99.04  83.82  69.52  95.49  94.34    113    4.942     5    3.081    8.023
 84.29   0.00  23.97  72.59  95.49  94.34    114    4.988     5    3.081    8.068
 84.29   0.00  71.90  72.59  95.49  94.34    114    4.988     5    3.081    8.068
  0.00  70.66   9.99  76.10  95.49  94.34    115    5.035     5    3.081    8.116
  0.00  70.66  53.95  76.10  95.49  94.34    115    5.035     5    3.081    8.116
  0.00  70.66  97.91  76.10  95.49  94.34    115    5.035     5    3.081    8.116
 77.18   0.00  29.98  79.14  95.49  94.34    116    5.105     5    3.081    8.186
 77.18   0.00  68.61  79.14  95.49  94.34    116    5.105     5    3.081    8.186
 77.18   0.00  87.76  79.14  95.49  94.34    116    5.105     5    3.081    8.186
  0.00 100.00  11.77  87.15  95.49  94.34    117    5.233     5    3.081    8.314
  0.00 100.00  45.73  87.15  95.49  94.34    117    5.233     5    3.081    8.314
  0.00 100.00  81.45  87.15  95.49  94.34    117    5.233     5    3.081    8.314
 39.40   0.00  19.90  89.91  95.50  94.34    118    5.290     5    3.081    8.371
 39.40   0.00  67.66  89.91  95.50  94.34    118    5.290     5    3.081    8.371
  0.00  39.79   0.00  91.59  95.50  94.34    119    5.331     6    3.081    8.412
  0.00   0.00   3.99   5.42  95.50  94.34    119    5.331     6    3.361    8.692
  0.00   0.00  45.85   5.42  95.50  94.34    119    5.331     6    3.361    8.692
  0.00   0.00  87.71   5.42  95.50  94.34    119    5.331     6    3.361    8.692
 47.61   0.00  17.96   5.42  95.50  94.34    120    5.367     6    3.361    8.728
 47.61   0.00  72.20   5.42  95.50  94.34    120    5.367     6    3.361    8.728
  0.00  47.72  13.98   8.61  95.50  94.34    121    5.410     6    3.361    8.771
  0.00  47.72  67.91   8.61  95.50  94.34    121    5.410     6    3.361    8.771
 46.47   0.00   9.99  12.34  95.50  94.34    122    5.455     6    3.361    8.816
 46.47   0.00  63.94  12.34  95.50  94.34    122    5.455     6    3.361    8.816
  0.00  44.39   4.00  15.53  95.50  94.34    123    5.513     6    3.361    8.874
  0.00  44.39  51.97  15.53  95.50  94.34    123    5.513     6    3.361    8.874
  0.00  44.39  97.94  15.53  95.50  94.34    123    5.513     6    3.361    8.874
 59.41   0.00  29.38  18.77  95.50  94.34    124    5.569     6    3.361    8.929
