
 num     #instances         #bytes  class name
 189:             3            120  org.apache.log4j.helpers.PatternParser$LocationPatternConverter
 190:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 191:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 192:             2            112  [Ljava.security.CryptoPrimitive;
 193:             7            112  java.util.HashMap$KeySet
 194:             2            112  java.util.LinkedHashMap
 195:             5            104  [Lsun.reflect.generics.tree.FieldTypeSignature;
 196:             5             96  [Ljava.lang.reflect.Type;
 197:             4             96  java.io.FilePermissionCollection
 198:             2             96  java.lang.ThreadGroup
 199:             3             96  java.security.BasicPermissionCollection
 200:             4             96  java.util.concurrent.atomic.AtomicLong
 201:             6             96  java.util.regex.Pattern$BranchConn
 202:             3             96  org.apache.log4j.PatternLayout
 203:             3             96  org.apache.log4j.helpers.QuietWriter
 204:             1             96  sun.misc.Launcher$AppClassLoader
 205:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo
 206:             1             88  java.net.DualStackPlainSocketImpl
 207:             1             88  sun.misc.Launcher$ExtClassLoader
 208:             2             80  java.io.ExpiringCache
 209:             5             80  java.lang.ThreadLocal
 210:             2             80  java.util.Locale$Category
 211:             2             80  org.apache.log4j.helpers.PatternParser$CategoryPatternConverter
 212:             3             72  java.io.InputStreamReader
 213:             3             72  java.net.Proxy$Type
 214:             3             72  java.util.Collections$SynchronizedSet
 215:             1             72  java.util.ResourceBundle$RBClassLoader
 216:             3             72  java.util.concurrent.ConcurrentHashMap$KeySetView
 217:             3             72  java.util.concurrent.atomic.AtomicMarkableReference$Pair
 218:             3             72  java.util.regex.Pattern$BitClass
 219:             3             72  java.util.regex.Pattern$Prolog
 220:             3             72  java.util.regex.Pattern$Ques
 221:             3             72  org.apache.log4j.helpers.FormattingInfo
 222:             3             72  org.apache.log4j.helpers.OnlyOnceErrorHandler
 223:             3             72  sun.misc.FloatingDecimal$ExceptionalBinaryToASCIIBuffer
 224:             3             72  sun.misc.JarIndex
 225:             1             72  sun.reflect.DelegatingClassLoader
 226:             1             72  sun.util.locale.provider.JRELocaleProviderAdapter
 227:             3             72  sun.util.resources.ParallelListResourceBundle$KeySet
 228:             1             64  [F
 229:             2             64  [Ljava.lang.Thread;
 230:             2             64  java.io.PrintStream
 231:             2             64  java.lang.ClassValue$Entry
 232:             2             64  java.lang.StringCoding$StringEncoder
 233:             2             64  java.lang.VirtualMachineError
 234:             2             64  java.lang.ref.ReferenceQueue$Null
 235:             1             64  org.apache.log4j.ConsoleAppender
 236:             2             64  strategy.BufferInputStrategy
 237:             2             64  sun.reflect.generics.repository.ClassRepository
 238:             2             64  sun.util.locale.provider.LocaleServiceProviderPool
 239:             3             56  [Lsun.reflect.generics.tree.FormalTypeParameter;
 240:             1             48  [Lcom.sun.beans.util.Cache$CacheEntry;
 241:             1             48  [Ljava.beans.WeakIdentityMap$Entry;
 242:             3             48  [Ljava.lang.annotation.Annotation;
 243:             1             48  [Ljava.math.RoundingMode;
 244:             2             48  [Lsun.reflect.generics.tree.ClassTypeSignature;
 245:             2             48  graph.NetworkTopology
 246:             2             48  java.io.BufferedOutputStream
 247:             2             48  java.io.File$PathStatus
 248:             1             48  java.lang.ProcessEnvironment
 249:             2             48  java.lang.StringBuilder
 250:             2             48  java.lang.ThreadLocal$ThreadLocalMap
 251:             2             48  java.net.InetAddress$Cache
 252:             2             48  java.net.InetAddress$Cache$Type
 253:             1             48  java.net.SocketInputStream
 254:             2             48  java.nio.charset.CoderResult
 255:             3             48  java.nio.charset.CodingErrorAction
 256:             3             48  java.text.AttributedCharacterIterator$Attribute
 257:             3             48  java.util.concurrent.atomic.AtomicMarkableReference
 258:             2             48  java.util.regex.Pattern$SliceI
 259:             1             48  org.apache.log4j.Hierarchy
 260:             2             48  sun.misc.NativeSignalHandler
 261:             2             48  sun.misc.Signal
 262:             3             48  sun.net.www.protocol.jar.Handler
 263:             1             48  sun.nio.cs.US_ASCII$Decoder
 264:             2             48  sun.reflect.generics.factory.CoreReflectionFactory
 265:             2             48  sun.reflect.generics.tree.ClassSignature
 266:             1             48  sun.text.resources.FormatData
 267:             1             48  sun.text.resources.zh.FormatData_zh
 268:             1             48  sun.text.resources.zh.FormatData_zh_CN
 269:             1             48  sun.util.resources.CalendarData
 270:             1             48  sun.util.resources.CurrencyNames
 271:             1             48  sun.util.resources.zh.CalendarData_zh
 272:             1             48  sun.util.resources.zh.CurrencyNames_zh_CN
 273:             2             40  [Ljava.lang.reflect.TypeVariable;
 274:             1             40  [Lsun.security.util.DisabledAlgorithmConstraints$Constraint$Operator;
 275:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type;
 276:             1             40  com.sun.beans.finder.MethodFinder$1
 277:             1             40  java.beans.WeakIdentityMap$Entry
 278:             1             40  java.io.BufferedInputStream
 279:             1             40  java.util.ResourceBundle$1
 280:             1             40  org.apache.log4j.spi.RootLogger
 281:             1             40  sun.nio.cs.StandardCharsets$Aliases
 282:             1             40  sun.nio.cs.StandardCharsets$Cache
 283:             1             40  sun.nio.cs.StandardCharsets$Classes
