 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
51712.0 54272.0  0.0   24448.0 584192.0 401199.7  699392.0   497499.4  5760.0 5496.5 640.0  603.8      51    2.277   1      0.733    3.010
51712.0 54272.0  0.0   24448.0 584192.0 581549.8  699392.0   497499.4  5760.0 5496.5 640.0  603.8      51    2.277   1      0.733    3.010
48640.0 50688.0 19774.9  0.0   592896.0 199533.8  699392.0   595699.5  5760.0 5498.2 640.0  603.8      52    2.351   1      0.733    3.084
48640.0 50688.0 19774.9  0.0   592896.0 376109.8  699392.0   595699.5  5760.0 5498.2 640.0  603.8      52    2.351   1      0.733    3.084
49664.0 50688.0  0.0   17328.0 592896.0 23603.8   699392.0   615227.5  5760.0 5498.6 640.0  603.8      53    2.380   1      0.733    3.113
49664.0 50688.0  0.0   17328.0 592896.0 259642.3  699392.0   615227.5  5760.0 5498.6 640.0  603.8      53    2.380   1      0.733    3.113
49664.0 50688.0  0.0   17328.0 592896.0 555714.6  699392.0   615227.5  5760.0 5498.6 640.0  603.8      53    2.380   1      0.733    3.113
45568.0 48128.0 26912.0  0.0   598528.0 214808.9  699392.0   632035.5  5760.0 5498.6 640.0  603.8      54    2.416   1      0.733    3.149
45568.0 48128.0 26912.0  0.0   598528.0 501220.5  699392.0   632035.5  5760.0 5498.6 640.0  603.8      54    2.416   1      0.733    3.149
45568.0 48128.0  0.0   25248.0 598528.0   0.0     699392.0   658987.6  5760.0 5498.6 640.0  603.8      55    2.460   2      0.733    3.193
45568.0 48128.0  0.0    0.0   598528.0 35840.1   699392.0   70280.4   5760.0 5498.6 640.0  603.8      55    2.460   2      1.078    3.537
45568.0 48128.0  0.0    0.0   598528.0 322561.2  699392.0   70280.4   5760.0 5498.6 640.0  603.8      55    2.460   2      1.078    3.537
44544.0 45056.0 29152.0  0.0   605184.0   0.0     699392.0   70280.4   5760.0 5498.6 640.0  603.8      56    2.500   2      1.078    3.578
44544.0 45056.0 29152.0  0.0   605184.0 290112.5  699392.0   70280.4   5760.0 5498.6 640.0  603.8      56    2.500   2      1.078    3.578
44544.0 45056.0 29152.0  0.0   605184.0 592312.4  699392.0   70280.4   5760.0 5498.6 640.0  603.8      57    2.500   2      1.078    3.578
43520.0 45056.0  0.0   25312.0 605184.0 241870.2  699392.0   99472.5   5760.0 5498.6 640.0  603.8      57    2.543   2      1.078    3.621
43520.0 45056.0  0.0   25312.0 605184.0 544207.9  699392.0   99472.5   5760.0 5498.6 640.0  603.8      57    2.543   2      1.078    3.621
40448.0 41472.0 25312.0  0.0   610304.0 134193.3  699392.0   124832.5  5760.0 5498.6 640.0  603.8      58    2.610   2      1.078    3.687
40448.0 41472.0 25312.0  0.0   610304.0 414779.7  699392.0   124832.5  5760.0 5498.6 640.0  603.8      58    2.610   2      1.078    3.687
40448.0 41472.0 25312.0 38687.0 610304.0 610304.0  699392.0   147808.5  5760.0 5498.6 640.0  603.8      59    2.610   2      1.078    3.687
