
 num     #instances         #bytes  class name
 223:             3             72  java.util.concurrent.atomic.AtomicMarkableReference$Pair
 224:             3             72  java.util.regex.Pattern$BitClass
 225:             3             72  java.util.regex.Pattern$Prolog
 226:             3             72  java.util.regex.Pattern$Ques
 227:             3             72  org.apache.log4j.helpers.FormattingInfo
 228:             3             72  org.apache.log4j.helpers.OnlyOnceErrorHandler
 229:             3             72  sun.misc.FloatingDecimal$ExceptionalBinaryToASCIIBuffer
 230:             3             72  sun.misc.JarIndex
 231:             1             72  sun.util.locale.provider.JRELocaleProviderAdapter
 232:             3             72  sun.util.resources.ParallelListResourceBundle$KeySet
 233:             1             64  [F
 234:             2             64  [Ljava.lang.Thread;
 235:             2             64  java.io.PrintStream
 236:             2             64  java.lang.ClassValue$Entry
 237:             2             64  java.lang.StringCoding$StringEncoder
 238:             2             64  java.lang.VirtualMachineError
 239:             2             64  java.lang.ref.ReferenceQueue$Null
 240:             1             64  org.apache.log4j.ConsoleAppender
 241:             2             64  sun.reflect.generics.repository.ClassRepository
 242:             2             64  sun.util.locale.provider.LocaleServiceProviderPool
 243:             3             56  [Lsun.reflect.generics.tree.FormalTypeParameter;
 244:             1             48  [Lcom.sun.beans.util.Cache$CacheEntry;
 245:             1             48  [Ljava.beans.WeakIdentityMap$Entry;
 246:             3             48  [Ljava.lang.annotation.Annotation;
 247:             1             48  [Ljava.math.RoundingMode;
 248:             2             48  [Lsun.reflect.generics.tree.ClassTypeSignature;
 249:             2             48  java.io.BufferedOutputStream
 250:             2             48  java.io.File$PathStatus
 251:             1             48  java.lang.ProcessEnvironment
 252:             2             48  java.lang.ThreadLocal$ThreadLocalMap
 253:             2             48  java.net.InetAddress$Cache
 254:             2             48  java.net.InetAddress$Cache$Type
 255:             1             48  java.net.SocketInputStream
 256:             2             48  java.nio.charset.CoderResult
 257:             3             48  java.nio.charset.CodingErrorAction
 258:             3             48  java.text.AttributedCharacterIterator$Attribute
 259:             3             48  java.util.concurrent.atomic.AtomicMarkableReference
 260:             2             48  java.util.regex.Pattern$SliceI
 261:             1             48  org.apache.log4j.Hierarchy
 262:             2             48  sun.misc.NativeSignalHandler
 263:             2             48  sun.misc.Signal
 264:             3             48  sun.net.www.protocol.jar.Handler
 265:             1             48  sun.nio.cs.US_ASCII$Decoder
 266:             2             48  sun.reflect.generics.factory.CoreReflectionFactory
 267:             2             48  sun.reflect.generics.tree.ClassSignature
 268:             1             48  sun.text.resources.FormatData
 269:             1             48  sun.text.resources.zh.FormatData_zh
 270:             1             48  sun.text.resources.zh.FormatData_zh_CN
 271:             1             48  sun.util.resources.CalendarData
 272:             1             48  sun.util.resources.CurrencyNames
 273:             1             48  sun.util.resources.zh.CalendarData_zh
 274:             1             48  sun.util.resources.zh.CurrencyNames_zh_CN
 275:             2             40  [Ljava.lang.reflect.TypeVariable;
 276:             1             40  [Lsun.security.util.DisabledAlgorithmConstraints$Constraint$Operator;
 277:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type;
 278:             1             40  com.sun.beans.finder.MethodFinder$1
 279:             1             40  java.beans.WeakIdentityMap$Entry
 280:             1             40  java.io.BufferedInputStream
 281:             1             40  java.util.ResourceBundle$1
 282:             1             40  org.apache.log4j.spi.RootLogger
 283:             1             40  sun.nio.cs.StandardCharsets$Aliases
 284:             1             40  sun.nio.cs.StandardCharsets$Cache
 285:             1             40  sun.nio.cs.StandardCharsets$Classes
 286:             1             40  sun.nio.cs.ext.ExtendedCharsets
 287:             1             40  sun.reflect.generics.repository.MethodRepository
 288:             1             32  [Lcom.sun.beans.util.Cache$Kind;
 289:             1             32  [Ljava.lang.OutOfMemoryError;
 290:             2             32  [Ljava.lang.StackTraceElement;
 291:             1             32  [Ljava.lang.ThreadGroup;
 292:             1             32  [Ljava.net.Proxy$Type;
 293:             2             32  com.sun.beans.WeakCache
 294:             1             32  com.sun.beans.finder.BeanInfoFinder
 295:             1             32  java.beans.ThreadGroupContext
 296:             1             32  java.beans.ThreadGroupContext$1
 297:             1             32  java.io.WinNTFileSystem
 298:             1             32  java.lang.ArithmeticException
 299:             2             32  java.lang.Boolean
 300:             1             32  java.lang.NullPointerException
 301:             1             32  java.lang.StringCoding$StringDecoder
 302:             1             32  java.lang.reflect.WeakCache
 303:             1             32  java.net.InetAddress$InetAddressHolder
 304:             1             32  java.net.Socket
 305:             2             32  java.nio.ByteOrder
 306:             1             32  java.util.Collections$UnmodifiableMap
 307:             1             32  java.util.RegularEnumSet
 308:             2             32  java.util.concurrent.atomic.AtomicInteger
 309:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 310:             1             32  java.util.regex.Pattern$BnM
 311:             1             32  sun.instrument.InstrumentationImpl
 312:             1             32  sun.nio.cs.StandardCharsets
 313:             1             32  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 314:             1             32  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 315:             1             32  sun.reflect.generics.tree.MethodTypeSignature
 316:             1             32  sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint
 317:             1             32  sun.util.locale.provider.LocaleResources
 318:             1             24  [Ljava.io.File$PathStatus;
 319:             1             24  [Ljava.lang.ClassValue$Entry;
 320:             1             24  [Ljava.net.InetAddress$Cache$Type;
 321:             1             24  [Ljava.security.ProtectionDomain;
 322:             1             24  [Ljava.util.Locale$Category;
 323:             1             24  [Lsun.launcher.LauncherHelper;
 324:             1             24  com.sun.beans.util.Cache$Kind$1
 325:             1             24  com.sun.beans.util.Cache$Kind$2
 326:             1             24  com.sun.beans.util.Cache$Kind$3
 327:             1             24  java.lang.ClassValue$Version
 328:             1             24  java.lang.invoke.MethodHandleImpl$4
 329:             1             24  java.lang.reflect.ReflectPermission
 330:             1             24  java.net.Inet4Address
 331:             1             24  java.net.Inet6AddressImpl
 332:             1             24  java.net.Proxy
 333:             1             24  java.util.BitSet
 334:             1             24  java.util.Collections$EmptyMap
 335:             1             24  java.util.Collections$SetFromMap
 336:             1             24  java.util.Currency
 337:             1             24  java.util.Locale$Cache
 338:             1             24  java.util.ResourceBundle$Control$CandidateListCache
 339:             1             24  sun.instrument.TransformerManager
 340:             1             24  sun.launcher.LauncherHelper
 341:             1             24  sun.misc.URLClassPath$FileLoader
 342:             1             24  sun.nio.cs.ISO_8859_1
 343:             1             24  sun.nio.cs.ThreadLocalCoders$1
 344:             1             24  sun.nio.cs.ThreadLocalCoders$2
 345:             1             24  sun.nio.cs.US_ASCII
 346:             1             24  sun.nio.cs.UTF_16
 347:             1             24  sun.nio.cs.UTF_16BE
 348:             1             24  sun.nio.cs.UTF_16LE
 349:             1             24  sun.nio.cs.UTF_8
 350:             1             24  sun.nio.cs.ext.GBK
 351:             1             24  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 352:             1             24  sun.reflect.generics.scope.ClassScope
 353:             1             24  sun.reflect.generics.scope.MethodScope
 354:             1             24  sun.reflect.generics.tree.FormalTypeParameter
 355:             1             24  sun.reflect.generics.tree.Wildcard
 356:             1             24  sun.security.action.GetPropertyAction
 357:             1             24  sun.security.util.DisabledAlgorithmConstraints
 358:             1             24  sun.util.locale.BaseLocale$Cache
 359:             1             24  sun.util.locale.provider.CalendarDataProviderImpl
 360:             1             24  sun.util.locale.provider.CalendarProviderImpl
 361:             1             24  sun.util.locale.provider.CurrencyNameProviderImpl
 362:             1             24  sun.util.locale.provider.DateFormatSymbolsProviderImpl
 363:             1             24  sun.util.locale.provider.DecimalFormatSymbolsProviderImpl
 364:             1             24  sun.util.locale.provider.NumberFormatProviderImpl
 365:             1             16  [Ljava.beans.EventSetDescriptor;
 366:             1             16  [Ljava.lang.Enum;
 367:             1             16  [Ljava.lang.Throwable;
 368:             1             16  [Ljava.security.cert.Certificate;
 369:             1             16  [Ljava.text.FieldPosition;
 370:             1             16  [Lsun.instrument.TransformerManager$TransformerInfo;
 371:             1             16  [Lsun.reflect.generics.tree.TypeSignature;
 372:             1             16  java.io.FileDescriptor$1
 373:             1             16  java.io.FileInputStream$1
 374:             1             16  java.lang.CharacterDataLatin1
 375:             1             16  java.lang.ClassValue$Identity
 376:             1             16  java.lang.ProcessEnvironment$EntryComparator
 377:             1             16  java.lang.ProcessEnvironment$NameComparator
 378:             1             16  java.lang.Runtime
 379:             1             16  java.lang.String$CaseInsensitiveComparator
 380:             1             16  java.lang.System$2
 381:             1             16  java.lang.Terminator$1
 382:             1             16  java.lang.invoke.MemberName$Factory
 383:             1             16  java.lang.invoke.MethodHandleImpl$2
 384:             1             16  java.lang.invoke.MethodHandleImpl$3
 385:             1             16  java.lang.ref.Reference$1
 386:             1             16  java.lang.ref.Reference$Lock
 387:             1             16  java.lang.reflect.Proxy$KeyFactory
 388:             1             16  java.lang.reflect.Proxy$ProxyClassFactory
 389:             1             16  java.lang.reflect.ReflectAccess
 390:             1             16  java.net.InetAddress$2
 391:             1             16  java.net.URLClassLoader$7
 392:             1             16  java.nio.Bits$1
 393:             1             16  java.nio.charset.CoderResult$1
 394:             1             16  java.nio.charset.CoderResult$2
 395:             1             16  java.security.ProtectionDomain$2
 396:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl
 397:             1             16  java.util.Collections$EmptyEnumeration
 398:             1             16  java.util.Collections$EmptyIterator
 399:             1             16  java.util.Collections$EmptyList
 400:             1             16  java.util.Collections$EmptySet
 401:             1             16  java.util.Collections$UnmodifiableSet
 402:             1             16  java.util.Currency$CurrencyNameGetter
 403:             1             16  java.util.HashMap$EntrySet
 404:             1             16  java.util.Hashtable$EntrySet
 405:             1             16  java.util.ResourceBundle$Control
 406:             1             16  java.util.WeakHashMap$KeySet
 407:             1             16  java.util.concurrent.atomic.AtomicBoolean
 408:             1             16  java.util.jar.JavaUtilJarAccessImpl
 409:             1             16  java.util.regex.Pattern$4
 410:             1             16  java.util.regex.Pattern$LastNode
 411:             1             16  java.util.regex.Pattern$Node
 412:             1             16  java.util.zip.ZipFile$1
 413:             1             16  org.apache.log4j.DefaultCategoryFactory
 414:             1             16  org.apache.log4j.helpers.AppenderAttachableImpl
 415:             1             16  org.apache.log4j.or.DefaultRenderer
 416:             1             16  org.apache.log4j.or.RendererMap
 417:             1             16  org.apache.log4j.spi.DefaultRepositorySelector
 418:             1             16  sun.misc.ASCIICaseInsensitiveComparator
 419:             1             16  sun.misc.FloatingDecimal$1
 420:             1             16  sun.misc.Launcher
 421:             1             16  sun.misc.Launcher$Factory
 422:             1             16  sun.misc.Perf
 423:             1             16  sun.misc.Unsafe
 424:             1             16  sun.net.spi.DefaultProxySelector
 425:             1             16  sun.net.www.protocol.file.Handler
 426:             1             16  sun.reflect.ReflectionFactory
 427:             1             16  sun.reflect.generics.tree.BottomSignature
 428:             1             16  sun.security.util.AlgorithmDecomposer
 429:             1             16  sun.security.util.DisabledAlgorithmConstraints$Constraints
 430:             1             16  sun.util.calendar.Gregorian
 431:             1             16  sun.util.locale.provider.AuxLocaleProviderAdapter$NullProvider
 432:             1             16  sun.util.locale.provider.CalendarDataUtility$CalendarWeekParameterGetter
 433:             1             16  sun.util.locale.provider.SPILocaleProviderAdapter
 434:             1             16  sun.util.resources.LocaleData
 435:             1             16  sun.util.resources.LocaleData$LocaleDataResourceBundleControl
Total      32154533     1494603760
